"3D Secure","3D Secure"
"3D Secure Card Validation","3D Secure Card Validation"
"API Login ID","API Login ID"
"Accepted Currency","Accepted Currency"
"Allow Partial Authorization","Allow Partial Authorization"
"Are you sure you want to cancel your payment? Click OK to cancel your payment and release the amount on hold. Click Cancel to enter another credit card and continue with your payment.","Are you sure you want to cancel your payment? Click OK to cancel your payment and release the amount on hold. Click Cancel to enter another credit card and continue with your payment."
"Authorize Only","Authorize Only"
"Authorize and Capture","Authorize and Capture"
"Authorize.Net Transaction ID %s","Authorize.Net Transaction ID %s"
"Authorize.net","Authorize.net"
"Cancel","Cancel"
"Centinel API URL","Centinel API URL"
"Credit Card Types","Credit Card Types"
"Credit Card Verification","Credit Card Verification"
"Credit Card: xxxx-%s","Credit Card: xxxx-%s"
"Debug","Debug"
"Email Customer","Email Customer"
"Enabled","Enabled"
"Error in payment gateway.","Error in payment gateway."
"Gateway actions are locked because the gateway cannot complete one or more of the transactions. Please log in to your Authorize.Net account to manually resolve the issue(s).","Gateway actions are locked because the gateway cannot complete one or more of the transactions. Please log in to your Authorize.Net account to manually resolve the issue(s)."
"Gateway error: %s","Gateway error: %s"
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement."
"Invalid amount for authorization.","Invalid amount for authorization."
"Invalid amount for capture.","Invalid amount for capture."
"Invalid amount for partial authorization.","Invalid amount for partial authorization."
"Invalid amount for refund.","Invalid amount for refund."
"Invalid split tenderId ID.","Invalid split tenderId ID."
"Maximum Order Total","Maximum Order Total"
"Merchant's Email","Merchant's Email"
"Minimum Order Total","Minimum Order Total"
"New Order Status","New Order Status"
"Payment Action","Payment Action"
"Payment authorization error.","Payment authorization error."
"Payment canceling error.","Payment canceling error."
"Payment capturing error.","Payment capturing error."
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Payment partial authorization error.","Payment partial authorization error."
"Payment refunding error.","Payment refunding error."
"Payment updating error.","Payment updating error."
"Payment voiding error.","Payment voiding error."
"Processed Amount","Processed Amount"
"Remaining Balance","Remaining Balance"
"Severe 3D Secure Card Validation","Severe 3D Secure Card Validation"
"Severe Validation Removes Chargeback Liability on Merchant","Severe Validation Removes Chargeback Liability on Merchant"
"Shopping cart contents and/or address has been changed.","Shopping cart contents and/or address has been changed."
"Sort Order","Sort Order"
"Test Mode","Test Mode"
"The amount on your credit card is insufficient to complete your purchase. The available amount has been put on hold. To complete your purchase click OK and specify additional credit card number. To cancel the purchase and release the amount on hold, click Cancel.","The amount on your credit card is insufficient to complete your purchase. The available amount has been put on hold. To complete your purchase click OK and specify additional credit card number. To cancel the purchase and release the amount on hold, click Cancel."
"There was an error canceling transactions. Please contact us or try again later.","There was an error canceling transactions. Please contact us or try again later."
"Title","Title"
"Transaction Key","Transaction Key"
"You have reached the maximum number of credit card allowed to be used for the payment.","You have reached the maximum number of credit card allowed to be used for the payment."
"You have reached the maximum number of credit cards that can be used for one payment. The available amounts on all used cards were insufficient to complete payment. The payment has been cancelled and amounts on hold have been released.","You have reached the maximum number of credit cards that can be used for one payment. The available amounts on all used cards were insufficient to complete payment. The payment has been cancelled and amounts on hold have been released."
"Your credit card has been declined. Click OK to specify another credit card to complete your purchase. Click Cancel to release the amount on hold and select another payment method.","Your credit card has been declined. Click OK to specify another credit card to complete your purchase. Click Cancel to release the amount on hold and select another payment method."
"Your order has not been placed, because contents of the shopping cart and/or address has been changed. Authorized amounts from your previous payment that were left pending are now released. Please go through the checkout process for your recent cart contents.","Your order has not been placed, because contents of the shopping cart and/or address has been changed. Authorized amounts from your previous payment that were left pending are now released. Please go through the checkout process for your recent cart contents."
"Your payment has been cancelled. All authorized amounts have been released.","Your payment has been cancelled. All authorized amounts have been released."
"amount %s","amount %s"
"authorize","authorize"
"authorize and capture","authorize and capture"
"capture","capture"
"failed","failed"
"refund","refund"
"successful","successful"
"void","void"
