"%1 and greater",%1或更多
"<strong>%1 item(s)</strong> were found using the following search criteria",发现<strong>%1个条目</strong>使用下面的搜索条件
"<strong>%1 item(s)</strong> were found using the following search criteria.",<strong>%1个条目</strong>被发现使用下面的搜索条件。
"<strong>%1 item</strong> were found using the following search criteria",使用下面的搜索关键词找到<strong>%1个条目</strong>
"<strong>%1 items</strong> were found using the following search criteria",使用下面的搜索关键词找到<strong>%1个条目</strong>
All,全部
"Applies for ""Like"" search type only","仅应用""喜欢""搜索类型"
"Apply Layered Navigation if Search Results are Less Than",如果搜索结果少于该数量，应用分层式导航
"Attribute setting change related with Search Index. Please run <a href=""%1"">Rebuild Search Index</a> process.","属性设置改变与搜索索引相关。请运行<a href=""%1"">重建搜索索引</a>过程。"
"Catalog Advanced Search",产品目录高级搜索
"Catalog Search",产品目录搜索
"Enter ""0"" to enable layered navigation for any number of results.",输入“0”即可为任何数量的结果启用分层式导航。
"Go to Home Page",前往主页
Grid,网格
Home,主页
List,列表
"Maximum Query Length",最大查询长度
"Maximum Query Words Count",最大查询词语数量
"Minimal Query Length",最小查询长度
"Minimum Search query length is %1","最小搜索查询长度为 %1"
"Modify your search",修改您的搜索
No,否
"No items were found using the following search criteria.",找不到使用下列搜索条件的条目。
"Please specify at least one search term.",请至少指定一个搜索词。
"Please specify correct data.",请指定正确的日期。
"Popular Search Terms",热门搜索词
"Rebuild Catalog product fulltext search index",重建目录产品全文搜索索引
Relevance,关联
Results,结果
Search,搜索
"Search Settings",搜索设置
"Search Terms",搜索词
"Search Type",搜索类型
"Search entire store here...",在这里搜索整个商店...
Search:,搜索：
"Sorry, but the maximum word count is %1. We left out this part of your search: %2.","很抱歉，最大单词数为%1。 我们忽略掉了您搜索的""%2""部分。"
"Suggested Terms",建议关键词
Synonym,近义词
"There are no search terms available.",没有可用的搜索词
"We didn't find any items using this search criteria.",没有找到指定搜索条件的条目。
Yes,是
"Your search query can't be longer than %1, so we had to shorten your query.",您的搜索关键字不能长于%1。所以我们不得不截断它。
"Your search returns no results.",未找到您想要的搜索结果。
"up to %1","至多 %1"
