Home,Home
"Go to Home Page","Go to Home Page"
"Catalog Advanced Search","Catalog Advanced Search"
All,All
Yes,Yes
No,No
Results,Results
Grid,Grid
List,List
"Search Weight","Search Weight"
"Search results for: '%1'","Search results for: '%1'"
"Minimum Search query length is %1","Minimum Search query length is %1"
"Please specify at least one search term.","Please specify at least one search term."
"%1 and greater","%1 and greater"
"up to %1","up to %1"
Category,Category
"%1 and above","%1 and above"
"%1 - %2","%1 - %2"
Product,Product
"Search Settings","Search Settings"
Search,Search
"Advanced Search","Advanced Search"
"<strong>%1 item</strong> were found using the following search criteria","<strong>%1 item</strong> were found using the following search criteria"
"<strong>%1 items</strong> were found using the following search criteria","<strong>%1 items</strong> were found using the following search criteria"
"No items were found using the following search criteria.","No items were found using the following search criteria."
"Modify your search","Modify your search"
name,name
"Don't see what you're looking for?","Don't see what you're looking for?"
"Your search returns no results.","Your search returns no results."
"Popular Search Terms","Popular Search Terms"
"Catalog Search","Catalog Search"
"Minimal Query Length","Minimal Query Length"
"Maximum Query Length","Maximum Query Length"
"Apply Layered Navigation if Search Results are Less Than","Apply Layered Navigation if Search Results are Less Than"
"Enter ""0"" to enable layered navigation for any number of results.","Enter ""0"" to enable layered navigation for any number of results."
"Rebuild Catalog product fulltext search index","Rebuild Catalog product fulltext search index"
