"-OR-","-OU-"
"2-pixel perimeter around the header space.","Un périmètre de deux pixels autour de l'espace du header."
"3D Secure","3D Secure"
"3D Secure Card Validation","Validation de la carte par 3D Secure"
"3D Secure validation is required for Maestro cards. Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","Validation D sécurisée nécessaire pour les cartes Maestro. Le support des cartes American Express nécessite l'acceptation d'un accord supplémentaire. En savoir plus à <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>"
"<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>","<a href=""http://www.magentocommerce.com/paypal"">Commencer à accepter les paiements via Paypal !</a>"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","Une valeur est requise pour le mode en direct. Référez-vous à votre contrat CardinalCommerce."
"ACH Deposit (Hold for Dispute or Other Investigation)","Dépôt ACH (bloquer pour litige ou autre enquête)"
"ACH Deposit (Reversal)","Dépôt ACH (annulation)"
"ACH Funding for Funds Recovery from Account Balance","Fonds ACH pour récupération de fonds depuis la balance du compte"
"ACH Withdrawal","Virement ACH"
"API Authentication Methods","API Méthodes d'identification"
"API Certificate","Certificat API"
"API Password","Mot de passe API"
"API Signature","Signature API"
"API Username","Nom d'utilisateur API"
"API Uses Proxy","L'API utilise un proxy"
"API/Integration","API/Intégration"
"API/Integration Settings","Réglages de l'API/Intégration"
"Ability for buyer to purchase without PayPal account.","Possibilité pour l'acheteur de commander sans compte PayPal."
"Accept PayPal payments in your shopping cart. PayPal will process your credit card payments through the Payflow Pro Gateway.","Accepter les paiements Paypal dans vote boutique. Paypal gérera les paiements via carte de crédit grâce à la passerelle Payflow Pro."
"Accept payments with a PCI-compliant checkout that keeps customers on your site.  Includes a merchant account from PayPal.","Accepter les paiements avec un règlement conforme au PCI qui garde les clients sur le site. Comprend un compte commercial de PayPal."
"Accept payments with a PCI-compliant checkout that keeps customers on your site. For use with your own merchant account.","Accepter les paiements avec un règlement conforme au PCI qui garde les clients sur le site. Pour une utilisation avec votre propre compte commercial."
"Accept payments without customers leaving your website. Many popular web-hosting services and shopping carts come with the Payflow payment gateways built in, so they are easy to set up.","Acceptez les paiements sans que les clients ne quittent votre site. De nombreux services hébergés en ligne viennent avec la passerelle Payflow pré-installée, et sont donc faciles à mettre en place."
"Acceptance Mark","Marque d'acceptance"
"Acceptance Mark Image","Image de marque d'acceptance"
"Account-to-Account Payment, initiated by PayPal","Paiement compte-à-compte, initié par PayPal"
"Add an Express Checkout button to your existing shopping cart for quick and easy credit card payments. PayPal handles all payment processing.","Ajouter un bouton d'achat express à votre panier existant pour des paiements rapides et simples. PayPal s'occupe de tout le traitement du paiement."
"Additional Options","Options additionnelles"
"Address","Adresse"
"Address Verification System Response","Réponse du système à la vérification d'adresse"
"All the address information matched","Toutes les informations de l'adresse correspondent"
"Allow in Billing Agreement Wizard","Autoriser dans l'assistant d'accord de facturation"
"Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).","Variables autorisées :  ""paypal"", ""primary"" (default), your_custom_value (un style de page de paiement personnalisé de votre compte vendeur)"
"Allowed Credit Card Types","Types de cartes autorisés"
"Also affects mini-shopping cart.","Affecte aussi le panier mini-shopping."
"Ask Customer","Demander au client"
"Attempted Authentication, Bad Result","Essai d'authentification, mauvais résultat"
"Attempted Authentication, Good Result","Essai d'authentification, bon résultat"
"Auction Payment other than through eBay","Paiement des enchères autres que via eBay"
"Authenticated, Bad Result","Authentifié, mauvais résultat"
"Authenticated, Good Result","Authentifié, bon résultat"
"Authorization","Autorisation"
"Authorization Honor Period (days)","Autorisation de la période de garantie (en jours)"
"Authorization expired.","Autorisation expirée."
"Authorization transaction is required to void.","L'autorisation de la transaction doit être annulée."
"Authorization was voided by merchant.","L'autorisation a été annulée par le vendeur."
"Authorized amount of %s.","La quantité autorisée s'élève à : %s."
"Authorizing amount of %s is pending approval on gateway.","La quantité autorisée de %s est en attente d'approbation sur la passerelle."
"Auto","Automatique"
"AutoSweep","Emporter automatiquement"
"Available Balance","Solde disponible"
"Balance Manager Account Bonus","Bonus de la balance du manager"
"Billing Address","Adresse de facturation"
"Billing Agreement Signup ","Souscription aux accords de facturation"
"Bonus for first ACH Use","Bonus pour première utilisation de l'ACH"
"Buyer Credit Payment","Paiement acheteur"
"Buyer\'s Tax ID","Identification fiscale de l'acheteur"
"Buyer\'s Tax ID Type","Type d'identification fiscale de l'acheteur"
"By default it is ""reports.paypal.com"".","Par défaut ""reports.paypal.com"""
"CNPJ","CNPJ"
"CPF","CPF"
"CVV2 Check Result by PayPal","Résultats de chèque CVV2 via Paypal"
"Can not send new order email.","N'a pas pu envoyer le nouvel email de commande."
"Cannot create target file for reading reports.","Ne peut pas créer de fichier source pour la lecture des rapports."
"Centinel API URL","Centinel Api URL"
"Centinel Custom API URL","Centinel Custom API URL"
"Charge-off","Radiés"
"Chargeback","Frais de retour"
"Chargeback by customer.","Frais de retour à la charge du client."
"Checkout with PayPal","Commander avec PayPal"
"City","Ville"
"Click here if you are not redirected within 10 seconds...","Cliquez ici si vous n'êtes pas redirigé après 10 secondes..."
"Company","Compagnie"
"Completion Date","Date de fin"
"Connecting to PayPal SFTP server to fetch new reports. Are you sure you want to proceed?","Se connecte au serveur SFTP de Paypal pour récupérer des nouveaux rapports. Etes-vous sûr de vouloir continuer ?"
"Countries Payment Applicable From","Formulaire de pays disponibles"
"Country","Pays"
"Coupon Redemption","Annulations de coupons"
"Credit","Crédit"
"Credit Card Settings","Réglages de la carte de crédit"
"Currency Conversion required to cover negative balance","Conversion de monnaie nécessaire pour compenser balance négative"
"Custom","Personnalisé"
"Custom Endpoint Hostname or IP-Address","Nom d'hébergeur ou adresse IP personnalisé"
"Custom Path","Chemin personnalisé"
"Customer Information","Informations du client"
"Customer complaint.","Plainte de client."
"Customer did not include a confirmed address.","Le client n'a pas d'adresse confirmée."
"Customer failed to pay.","Le paiement du client a échoué."
"Customer triggered a money-back guarantee.","L'utilisateur a déclenché la garantie de remboursement."
"Customer used non-confirmed address.","Le client a utilisé une adresse non confirmée."
"Daily","Tous les jours"
"Debit","Débit"
"Debit Card Cash Back","Remboursement carte de débit."
"Debit Card Transaction","Transaction via carte de débit."
"Debit or Credit","Débit ou crédit"
"Debug Mode","Mode débug"
"Direct Payment API","Paiement direct via l'API"
"Discount","Discount"
"Display Express Checkout in the Payment Information step","Afficher la caisse expresse dans l'étape sur les informations de paiement"
"Displays on catalog pages and homepage.","Affiche sur les pages du catalogue et la page d'accueil."
"Don't have a PayPal account? Simply enter your email address.","Vous n'avez pas de compte PayPal ? Entrez simplement votre adresse e-mail."
"Don’t have a PayPal merchant account? You can still accept credit card payments through the Payflow Pro Gateway.","Vous n'avez pas de compte Paypal vendeur ? Vous pouvez tout de même accepter les paiements par carte de crédit grâce à la passerelle Payflow Pro."
"Dynamic","Dynamique"
"EFT Funding (German banking)","Fonds EFT (banque allemande)"
"Edit Shopping Cart","Modifier le panier"
"Email Address","Adresse email"
"Email Associated with PayPal Merchant Account","Email associée à un compte Paypal vendeur"
"Enable Automatic Fetching","Activer la récupération automatique"
"Enable PayPal Guest Checkout","Activer la paiement Paypal en tant qu'invité"
"Enabled","Activé"
"Event","Évènement"
"Event Code","Code de l'évènement"
"Every 10 days","Tous les 10 jours"
"Every 14 days","Tous les 14 jours"
"Every 3 days","Tous les 3 jours"
"Every 30 days","Tous les 30 jours"
"Every 40 days","Tous les 40 jours"
"Every 7 days","Tous les 7 jours"
"Exact Match. Address and Postal Code. International","Correspondance exacte. Adresse et code postal. International"
"Exact Match. Address and Postal Code. UK-specific","Correspondance exacte. Adresse et code postal. Spécifique à la Grande Bretagne"
"Exact Match. Address and nine-digit ZIP code","Correspondance exacte. Adresse et code postal ZIP à neuf chiffres"
"Explanation: %s.","Explication : %s."
"Express Checkout","Commande express"
"Express Checkout (Payflow Edition) Settings","Options de paiement Express (Payflow Edition)"
"Express Checkout APIs","APIs de paiement Express"
"Express Checkout Settings","Réglages de la commande express"
"Express Checkout and Order have been canceled.","Le contrôle express et la commande ont été annulés."
"Express Checkout has been canceled.","Le contrôle express a été annulé."
"Failed to fetch reports from '%s@%s'.","Échec de récupération des rapports depuis '%s@%s'."
"Fax","Fax"
"Fee Amount","Montant des frais"
"Fee Debit or Credit","Frais de débit ou crédit"
"Fee Reversal","Annulation des frais"
"Fee: Foreign ACH Withdrawal","Frais : virement à l'étranger"
"Fee: Mass Pay Request","Frais : requête de paiement de masse"
"Fee: Web Site Payments Pro Account Monthly","Frais : compte mensuelle de sites web pro"
"Fee: WorldLink Check Withdrawal","Frais : virement Worldlink"
"Fetch","Chercher"
"Fetch Updates","Mises à jour de récupération"
"Fetched %s report rows from '%s@%s'.","Lignes de rapport %s récupérées depuis '%s@%s'."
"For Virtual Quotes Only","Pour les devis virtuels uniquement"
"Frontend Experience Settings","Options de l'interface utilisateur."
"Funding","Fonds"
"General (Authorization)","Général (autorisation)"
"General (Dividend)","Générale (dividendes)"
"General (Funds Transfer from PayPal Account to Another)","Général (transfert de fonds d'un compte Paypal à un autre)"
"General (Purchase with a credit card)","Général (commande via carte de crédit)"
"General Adjustment without businessrelated event","Ajustement général avec les évènements liés au commerce"
"General Currency Conversion","Conversion de monnaie"
"General Funding of PayPal Account ","Fonds du compte Paypal"
"General Redemption","Remboursement général"
"General Withdrawal from PayPal Account","Virement général depuis le compte Paypal"
"General. Product no longer supported","Général. Produit plus supporté."
"General: Use of PayPal account for purchasing as well as receiving payments","Général : Utilisation du compte Paypal pour acheter et recevoir des paiements"
"General: Withdrawal from PayPal Account","Général : virement depuis le compte Paypal."
"General: Withdrawal to Non-Bank Entity","Général : virement vers une entité non-bancaire"
"General: adjustment of a type not belonging to the other T12xx categories","Général : ajustement à un type ne correspondant pas aux autres catégories T12xx"
"General: bonus of a type not belonging to the other T08xx categories","Général : bonus d'un type ne correspondant pas aux autres catégories T08xx"
"General: event not yet categorized","Général : évènement n'appartenant à aucune catégorie"
"General: non-payment fee of a type not belonging to the other T01xx categories","Général : frais de non paiement ne correspondant pas aux catégories T01xx"
"General: received payment of a type not belonging to the other T00xx categories","Général : paiement reçu ne correspondant pas aux autres catégories T01xx"
"General: reversal of a type not belonging to the other T11xx categories","Général : annulation d'un type ne correspondant pas aux autres catégories T11xx"
"General: temporary hold of a type not belonging to the other T15xx categories","Général : blocage temporaire d'un type ne correspondant pas aux catégories T15xx"
"Get Credentials from PayPal","Obtenir la pièce d'identité de Paypal"
"Gift Certificate Payment: purchase of Gift Certificate","Paiement du certificat de cadeau : acheter un certificat de cadeau"
"Gift Certificate Redemption","Obtenir annulation du certificat de cadeau"
"Gross Amount","Montant brut"
"Header Background Color","Couleur de fond de l'entête"
"Header Border Color","Couleur du bord de l'entête"
"Header Image URL","URL de l'image de l'entête"
"Help","Aide"
