"# of Use","Utilisation numéro #"
"%1$s incl tax.","%1$s TTC"
"%s - %s","%s - %s"
"%s Item(s)","%s article(s)"
"(%d)","(%d)"
"(Copy data from: %s)","(Copier les données à partir de: %s)"
"(Will make search for the query above return results for this search.)","(Fera une recherche pour la demande ci-dessus retournera les résultats de cette recherche.)"
"* Required Fields","* Champs obligatoires"
"-- Please Select --","-- Veuillez sélectionner --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","86400 par défaut, si non défini. Pour réactualiser instantanément, Vider le cache des Blocs HTML de sortie."
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">Avertissement !</strong> Appliquer MAP par défaut masquera tous les prix de produits."
"A group with the same name already exists.","Un group avec le même nom existe déjà."
"A name is required","Un nom est nécessaire"
"A product type is not defined for the indexer.","Un type de produit n'est pas défini dans l'index."
"ALL GROUPS","TOUS LES GROUPES"
"AM","Avant midi"
"Action","Action"
"Actual Price","Prix"
"Add Attribute","Ajouter un Attribut"
"Add Design Change","Ajouter une modification de design"
"Add Group","Ajouter un groupe"
"Add New","Ajouter un nouveau"
"Add New Attribute","Ajouter un nouvel attribut"
"Add New Attribute Set","Ajouter un nouveau jeu d'attributs"
"Add New Group","Ajouter un nouveau groupe"
"Add New Images","Ajouter de nouvelles images"
"Add New Option","Ajouter nouvelle option"
"Add New Row","Ajouter nouvelle ligne"
"Add New Search Term","Ajouter un nouveau terme de recherche"
"Add New Set","Ajouter une nouvelle série"
"Add Product","Ajouter un produit"
"Add Product To Websites","Ajouter un produits aux sites Internet"
"Add Root Category","Ajouter une catégorie racine"
"Add Subcategory","Ajouter une sous-catégorie"
"Add Tax","Ajouter une taxe"
"Add Tier","Ajouter un niveau"
"Add to Cart","Ajouter au panier"
"Add to Compare","Ajouter au comparateur"
"Add to Wishlist","Ajouter à la liste de cadeaux"
"Additional Information","Informations supplémentaires"
"Alert Urls","Alertes Urls"
"All","Tous"
"All Product Types","Tous les types de produits"
"All Websites","Tous les sites web"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Tous les produits de cette série seront effacés ! Etes-vous sur de vouloir supprimer cette série d'attributs ?"
"Allow All Products per Page","Autoriser tous les produits par page"
"Allow Dynamic Media URLs in Products and Categories","Autoriser les URLs de medias dynamiques dans les Produits et les Catégories"
"Allow HTML Tags on Frontend","Autoriser les marqueurs HTML sur le frontal"
"Allowed File Extensions","Extensions de fichiers autorisées"
"Allowed file extensions to upload","Extensions de fichiers autorisées pour le téléchargement montant"
"Amount","Montant"
"An error occurred while adding products to websites.","Une erreur est survenue pendant l'ajout de produits sur les sites Internet."
"An error occurred while clearing comparison list.","Une erreur est survenue pendant la suppression de la list de comparaison."
"An error occurred while removing products from websites.","Une erreur est survenue pendant le retrait de produits des sites Internet."
"An error occurred while saving the URL rewrite","Une erreur est survenue lors de l'enregistrement de la réécriture de l'URL"
"An error occurred while saving the attribute set.","Une erreur est survenue pendant la sauvegarde de la série d'attributs."
"An error occurred while saving the product. ","Une erreur est survenue pendant la sauvegarde du produit."
"An error occurred while saving the search query.","Une erreur est survenue pendant la sauvegarde de la demande de recherche."
"An error occurred while saving this group.","Une erreur est survenue pendant la sauvegarde de ce groupe."
"An error occurred while trying to delete the category.","Une erreur est survenue en essayant de supprimer cette catégorie."
"An error occurred while updating the product(s) attributes.","Une erreur est survenue pendant la mise à jour des attributs du/des produit(s)."
"An error occurred while updating the product(s) status.","Une erreur est survenue pendant la mise à jour du statut du/des produit(s)."
"An invalid group ID is specified, skipping the record.","Identifiant de groupe invalide, ignorer."
"An invalid option ID is specified for %s (%s), skipping the record.","Un identifiant d'option invalide est spécifié pour %s (%s), ignorer."
"An invalid store was specified.","Un stockage invalide a été défini."
"Anchor Custom Text","Fixer texte personnalisé"
"Anchor Custom Title","Fixer titre personnalisé"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Applicable aux produits et aux catégories du catalogue seulement. Tout contenu media sera inséré dans l'éditeur comme une URL statique. Cela n'est pas mis à jour si l'URL de base de la configuration système est modifiée."
"Apply MAP (Default Value)","Appliquer MAP (Valeur par défaut"
"Apply To","Appliquer à"
"Approved","Approuvé"
"Are you sure you want to delete this category?","Etes-vous sur de vouloir supprimer cette catégorie ?"
