"* Select shipping method","* 选择运送方式"
"2Day","2天"
"2nd Day Air","2天航空"
"2nd Day Air AM","第二天航空朝至"
"3 Day Select","3天选择"
"<br />Warning: <strong>%s</strong><br />","<br />警告：<strong>%s</strong><br />"
"<strong style=""color:red"">Warning!</strong> This option disables the merchant calculated shipping. With this option, Google API ignores any attempt to affect shipping prices.","<strong style=""color:red"">警告！</strong> 该选项将禁用商家计算的运送费用。使用该选项，Google API 将忽略任何影响运送费用的情况。"
"A virtual item to reflect the discount total","一件虚拟项目反应总折扣"
"A virtual item to reflect the tax total","一件虚拟项目反映总税费"
"AVS Status: %s","AVS 状态：%s"
"Add","添加"
"Add Shipping Method","添加运送方式"
"Allowed Methods","允许的方式"
"Amount: %s","数量：%s"
"Auto-generated from GoogleCheckout Charge","从 GoogleCheckout 支付自动生成"
"Buyer Account Age: %s days","买家账户年龄：%s 天"
"CC Partial: xxxx-%s","CC 部分：xxxx-%s"
"CID Status: %s","CID 状态：%s"
"Carrier Calculated Methods","承运商计算的方式"
"Cart Discount","购物车折扣"
"Checkout Image Style","结账图片风格"
"Commercial","商业"
"Continue Shopping URL","继续购物 URL"
"Credit memo has been created automatically","信用备忘录已自动创建"
"Debug","调试"
"Default Package Height (in)","默认包裹高度 (in)"
"Default Package Length (in)","默认包裹长度 (in)"
"Default Package Width (in)","默认包裹宽度 (in)"
"Default Price for Methods","默认价格"
"Default price:","默认价格："
"Delivery Address Category","送货地址分类"
"Delivery Schedule","发货计划"
"Description-based delivery","基于描述的交付"
"Disable Default Tax Tables","禁止默认税率表"
"Discount Tax","折扣率"
"Eligible for Protection: %s","符合资格的保护：%s"
"Email delivery","邮件交付"
"Enable","启用"
"Enable Carrier Calculated","启用承运人计算"
"Enable Digital Delivery","启用数字交付"
"Enable Flat Rate","启用平坦费率"
"Enable Merchant Calculated","启用分行计算"
"Enable this if your checkout request is too big and being cut off.","如果您的结账请求太大被截断，请启用这个。"
"Expiration: %s","到期：%s"
"Express Mail","快速邮件"
"Express Saver","快速经济"
"FedEx","FedEx"
"Financial: %s -> %s","财务： %s -> %s"
"First Overnight","次日达"
"Free Shipping","免运费"
"Fulfillment: %s -> %s","满足： %s -> %s"
"Google API","Google API"
"Google Authorization:","Google身份验证："
"Google Buyer ID: %s","Google买家ID： %s"
"Google Charge:","Google Charger："
"Google Chargeback:","Google Chargeback："
"Google Checkout","Google Checkout"
"Google Checkout Shipping - Carrier Calculated","Google Checkout 送货 - 承运人计算"
"Google Checkout Shipping - Digital Delivery","Google Checkout 送货 - 数字交付"
"Google Checkout Shipping - Flat Rate","Google Checkout 送货 - 平坦费率"
"Google Checkout Shipping - Merchant Calculated","Google Checkout 送货 - 分行计算"
"Google Checkout: %s","Google Checkout：%s"
"Google Order Number: %s","Google 订单号码：%s"
"Google Order Status Change:","Google 订单状态更改："
"Google Refund:","Google 退款："
"Google Risk Information:","Google 风险信息："
"Ground","地面"
"Hide Cart Contents","隐藏购物车内容"
"Home Delivery","家庭运送"
"IP Address: %s","IP 地址：%s"
