Qty,Qty
"ALL GROUPS","ALL GROUPS"
"Unsupported product type ""%1"".","Unsupported product type ""%1""."
"Manage Stock","Manage Stock"
"Minimum Qty Allowed in Shopping Cart","Minimum Qty Allowed in Shopping Cart"
"Maximum Qty Allowed in Shopping Cart","Maximum Qty Allowed in Shopping Cart"
Backorders,Backorders
"Notify for Quantity Below","Notify for Quantity Below"
"Enable Qty Increments","Enable Qty Increments"
"Qty Increments","Qty Increments"
"In Stock","In Stock"
"Out of Stock","Out of Stock"
"Customer Group","Customer Group"
"Minimum Qty","Minimum Qty"
"Add Minimum Qty","Add Minimum Qty"
"Stock Status","Stock Status"
"Index Product Stock Status","Index Product Stock Status"
"This product is out of stock.","This product is out of stock."
"Some of the products are currently out of stock.","Some of the products are currently out of stock."
"The stock item for Product in option is not valid.","The stock item for Product in option is not valid."
"Undefined product type","Undefined product type"
"%1 is not a correct comparison method.","%1 is not a correct comparison method."
"No Backorders","No Backorders"
"Allow Qty Below 0","Allow Qty Below 0"
"Allow Qty Below 0 and Notify Customer","Allow Qty Below 0 and Notify Customer"
"Not all of your products are available in the requested quantity.","Not all of your products are available in the requested quantity."
"We cannot specify a product identifier for the order item.","We cannot specify a product identifier for the order item."
"The fewest you may purchase is %1.","The fewest you may purchase is %1."
"Please correct the quantity for some products.","Please correct the quantity for some products."
"The most you may purchase is %1.","The most you may purchase is %1."
"We don't have as many ""%1"" as you requested.","We don't have as many ""%1"" as you requested."
"We don't have as many ""%1"" as you requested, but we'll back order the remaining %2.","We don't have as many ""%1"" as you requested, but we'll back order the remaining %2."
"We don't have ""%1"" in the requested quantity, so we'll back order the remaining %2.","We don't have ""%1"" in the requested quantity, so we'll back order the remaining %2."
"You can buy %1 only in increments of %2.","You can buy %1 only in increments of %2."
"You can buy this product only in increments of %1.","You can buy this product only in increments of %1."
"%1 is available for purchase in increments of %2","%1 is available for purchase in increments of %2"
"Only %1 left","Only %1 left"
"Product Name","Product Name"
Inventory,Inventory
"Stock Options","Stock Options"
"Decrease Stock When Order is Placed","Decrease Stock When Order is Placed"
"Set Items' Status to be In Stock When Order is Cancelled","Set Items' Status to be In Stock When Order is Cancelled"
"Display Out of Stock Products","Display Out of Stock Products"
"Products will still be shown by direct product URLs.","Products will still be shown by direct product URLs."
"Only X left Threshold","Only X left Threshold"
"Display products availability in stock in the frontend","Display products availability in stock in the frontend"
"Product Stock Options","Product Stock Options"
"
                    Please note that these settings apply to individual items in the cart, not to the entire cart.
                ","
                    Please note that these settings apply to individual items in the cart, not to the entire cart.
                "
"Qty for Item's Status to Become Out of Stock","Qty for Item's Status to Become Out of Stock"
"Automatically Return Credit Memo Item to Stock","Automatically Return Credit Memo Item to Stock"
"Display products availability in stock on Storefront.","Display products availability in stock on Storefront."
"Changing can take some time due to processing whole catalog.","Changing can take some time due to processing whole catalog."
