"Add New Row","Adicionar Nova Linha"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with \'_\'.","Caracteres alfanuméricos, traço e sublinhado são recomendados para nomes de arquivos. Caracteres impróprios são substituídos por \'_\'."
"An error occurred while getting requested content. Please contact the store owner.","Ocorreu um erro ao obter o conteúdo solicitado. Por favor contate o proprietário da loja."
"An error occurred while getting the requested content.","Ocorreu um erro ao obter o conteúdo solicitado."
"An error occurred while getting the requested content. Please contact the store owner.","Ocorreu um erro ao obter o conteúdo solicitado. Por favor contate o proprietário da loja."
"An error occurred while saving the file(s).","Ocorreu um erro ao salvar o(s) arquivo(s)."
"Availability:","Disponibilidade:"
"Back","Voltar"
"Canceled","Cancelado"
"Cannot connect to remote host, error: %s.","Não é possível conetar ao anfitrião remoto, erro: %s."
"Catalog Product View (Downloadable)","Ver Catálogo do Produto (descarregável)"
"Customer My Account Downloadable Items","Minha Conta Cliente de Itens para Download"
"Date","Data"
"Default Link Title","Título do Link Predefinido"
"Default Maximum Number of Downloads","Número Máximo Predefinido de Transferências"
"Default Sample Title","Título da Amostra Predefinido"
"Delete","Excluir"
"Disable Guest Checkout if Cart Contains Downloadable Items","Desativar Caixa (Checkout) de Visitante se Carrinho Contém Itens para Transferência"
"Downloadable Information","Informação Transferível"
"Downloadable Product","Produto Descarregável"
"Downloadable Product Options","Opções de Produto Descarregável"
"Downloadable product Section","Seção de Produto Descarregável"
"Edit","Editar"
"Edit item parameters","Editar parâmetros de item"
"Excl. Tax","Excluir taxas"
"File","Arquivo"
"From:","De:"
"Gift Message","Mensagem de presente"
"Go to <a href=""%s"">My Downloadable Products</a>","Vá para <a href=""%s"">Meus Produtos Disponíveis para Download</a>"
"Guest checkout will only work with shareable.","A compra como visitante só funcionará com compartilháveis."
"In stock","Em estoque"
"Incl. Tax","Incluir taxas"
"Invalid download URL host.","Host de URL para download inválido."
"Invalid download URL scheme.","URL scheme para download inválido."
"Invalid download link type.","Tipo de link inválido para download."
"Invoiced","Faturado"
"Links can be purchased separately","Os links podem ser comprados separadamente"
"Max. Downloads","Máx. de Downloads"
"Message:","Mensagem:"
"Move to Wishlist","Mover para lista de presentes"
"My Downloadable Products","Meus Produtos Disponíveis para Download"
"Open Links in New Window","Abrir Links em Nova Janela"
"Order #","Ordem #"
"Order Item Status to Enable Downloads","Solicitar Status de Item para Permitir Downloads"
"Order id cannot be null","Identificação de solicitação não pode ser nula"
"Order item id cannot be null","Identificação de solicitação de item não pode ser nula"
"Ordered","Solicitado"
"Out of stock","Fora de estoque"
"Pending","Pendente"
"Please log in to download your product.","Por favor, efetue login para fazer o download de seu produto."
"Please set resource file and link type.","Por favor, estabeleça arquivo de pesquisa e tipo de link."
"Please specify product link(s).","Por favor, especifique link(s) do produto."
"Price","Preço"
"Qty","Quant."
"Refunded","Reembolsado"
"Remaining Downloads","Downloads restantes"
"Remove Item","Remover Item"
"Requested link does not exist.","O link solicitado não existe."
"Sample","Amostra"
"See price before order confirmation.","Ver preço antes de confirmar pedido."
"Shareable","Compartilhável"
"Shipped","Enviado"
"Sort Order","Classificar pedido"
"Start Download","Começar Download"
"Status","Status"
"The file does not exist.","O arquivo não existe."
"The link has expired.","O link expirou."
"The link is not available.","O link não está disponível."
"Title","Título"
"To:","Para:"
"U","U"
"Unlimited","Ilimitado"
"Use Content-Disposition","Usar Content-Disposition"
"Use Default Value","Utilizar valor padrão"
"View Order","Ver Solicitação"
"What's this?","O que é isso?"
"You have not purchased any downloadable products yet.","Você ainda não comprou nenhum produto para baixar."
"attachment","anexo"
"download","baixar"
"inline","em linha"
"sample","exemplo"
