"All Store Views","All Store Views"
"-- Please Select --","-- Please Select --"
Admin,Admin
"Store with the same code","Store with the same code"
"Website with the same code","Website with the same code"
"Website code may only contain letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","Website code may only contain letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter"
"Name is required","Name is required"
"The store code may contain only letters (a-z), numbers (0-9) or underscore(_),' ' the first character must be a letter","The store code may contain only letters (a-z), numbers (0-9) or underscore(_),' ' the first character must be a letter"
"Your Language:","Your Language:"
"Your Language","Your Language"
Language,Language
"Select Store","Select Store"
"Helper arguments should not be used in custom layout updates.","Helper arguments should not be used in custom layout updates."
"Updater model should not be used in custom layout updates.","Updater model should not be used in custom layout updates."
"Please correct the XML data and try again. %value%","Please correct the XML data and try again. %value%"
Layouts,Layouts
"Layout building instructions.","Layout building instructions."
"Blocks HTML output","Blocks HTML output"
"Page blocks HTML.","Page blocks HTML."
"View files fallback","View files fallback"
"Paths to view files (e.g., PHTML templates, images, CSS, JS files).","Paths to view files (e.g., PHTML templates, images, CSS, JS files)."
"View files pre-processing","View files pre-processing"
"Paths to pre-processed view files (e.g, CSS files with fixed paths or generated from LESS files).","Paths to pre-processed view files (e.g, CSS files with fixed paths or generated from LESS files)."
"Collections Data","Collections Data"
"Collection data files.","Collection data files."
