"All Websites","Alle Websites"
"Apply Discounts To FPT","Pas Korting Toe op FPT"
"Apply Tax To FPT","Pas BTW Toe op FPT"
"Display Prices In Emails","Toon Prijzen In Emails"
"Display Prices In Product Lists","Toon Prijzen In Productlijsten"
"Display Prices In Sales Modules","Toon Prijzen in Verkoopmodules"
"Display Prices On Product View Page","Toon Prijzen Op Product Weergavepagina"
"Enable FPT","Activeer FPT"
"Excluding FPT","Met uitzondering van FPT"
"Excluding FPT, FPT description, final price","Met uitzondering van FPT, FPT omschrijving, definitieve prijs"
"Fixed Product Tax","Vaste Product Belasting"
"Fixed Product Taxes","Vaste Product Belastingen"
"Include FPT In Subtotal","Neem FPT mee in Subtotaal"
"Including FPT and FPT description","Inclusief FPT en FPT omschrijving"
"Including FPT and FPT description [incl. FPT VAT]","Inclusief FPT en FPT omschrijving [incl. FPT BTW]"
"Including FPT only","Inclusief alleen FPT"
"Total","Totaal"
"Total Incl. Tax","Totale Inclusieve Belasting"
"Total incl. tax","Totaal incl. BTW"
