" But cart has some errors.","Der Einkaufswagen jedoch weist Fehler auf."
"""Description"" is more than %d characters long","""Beschreibung"" überschreitet die erlaubten %d Zeichen"
"""Title"" is more than %d characters long","""Titel"" überschreitet die erlaubten %d Zeichen"
"""id"" attribute is required for a ""%s"" field.","Se requiere el atributo id para el campo ""%s""."
"""line_count"" attribute is required for ""multiline"" element.","Se requiere el atributo ""line_count"" para el elemento multilínea."
"""message"" attribute is required for ""%s"" validator rule.","Se requiere el atributo ""message"" para la validación validator rule ""%s""."
"%1$s has been added to your wishlist.","%1$s wurde auf Ihren Wunschzettel geschrieben."
"%1$s incl tax.","%1$s inkl. MwSt."
"%s API Key required.","%s API-Key benötigt."
"%s Application ID required.","%s Anwendungsidentifikation benötigt."
"%s Secret Key required.","%s Geheimschlüssel benötigt."
"%s attribute is required.","Se requiere el atributo %s."
"%s has been added to your cart.","%s wurde in Ihren Einkaufswagen gelegt."
"(Includes more countries than those listed below. As the application owner, you are responsible for complying with country-specific laws related to the distribution or sale of your application into that country, including your home country.)","(Dazu gehören weitere Ländern außer den genannten. Als Eigentümer der Anwendung sind sie für die Einhaltung der Rechtsvorschriften ihres Landes hinsichtlich der Verbreitung oder dem Verkauf ihrer Anwendung in jeweiligem Land, einschließlich ihrem Heimatland, selbst verantwortlich.)"
"*Subject to change","Sujeto a cambios."
"10:40 AM","10:40 Uhr"
"80px x 80px","80px x 80px"
"80x80 px","80x80 px"
"<a href=""%s"" target=""_blank"">Login</a> to Urabn Airship.","<a href=""%s"" target=""_blank"">Login</a> para Urban Airship."
"A Catalog Only App will not support functions such as add to cart, add to wishlist, or login.","Eine Catalog Only App unterstützt Funktionen wie Zum Warenkorb Hinzufügen, Auf den Wunschzettel oder Login nicht."
"A new password has been sent.","Ein neues Passwort wurde gesendet."
"Account","Konto"
"Account confirmation is required. Please check your email for the confirmation link.","Kontoinformation benötigt. Überprüfen Sie bitte für den Bestätigungslink Ihren Posteingang."
"Account information has been saved.","Kontoinformation wurde gespeichert."
"Action","Aktion"
"Activate","Aktivieren"
"Activate PayPal Checkout","PayPal Checkout aktivieren"
"Activate PayPal MECL","Activar MECL de PayPal."
"Activation Key","Aktivierungsschlüssel"
"Add App","Neue App"
"Add New Template","Neue Vorlage"
"Add Page","Neue Seite"
"Add to Cart","Zum Warenkorb hinzufügen"
"Add to Wishlist","Zur Wunschliste hinzufügen"
"Additional Address","Zusätzliche Anschrift"
"Address","Adresse"
"Address 2","Anschrift 2"
"Address data not specified.","Keine Anschriftsdaten angegeben."
"Address does not belong to this customer.","Die Anschrift gehört nicht zu diesem Kunden."
"Address has been deleted.","Anschrift wurde gelöscht."
"Address has been saved.","Anschrift wurde gespeichert."
"Administrative contact for this app and for app submission issues.","Administrativer Ansprechpartner für diese App und für Probleme mit dem App-Angebot."
"Advanced Settings","Erweiterte Einstellungen"
"After submitting the App to Magento, please contact <a href=""mailto:%1$s"">%1$s</a> to receive the Application Key, Application Secret and Application Master Secret.","Tras solicitar el app a Magento, por favor póngase en contacto con <a href=""mailto:%1$s"">%1$s</a> para recibir la clave de la aplicación, la Application Secret y la Application Master Secret."
"AirMail Message Queue","AirMail Nachrichtenschlange"
"AirMail Messages Queue","AirMail Nachrichtenschlange"
"AirMail Template Preview","AirMail Template Vorschau"
"AirMail message","AirMail Nachricht"
"AirMail templates","AirMail Vorlagen"
"All Allowed Countries","Todos los países permitidos."
"All locations","Alle Orte"
"An account with this email address already exists.","Ein Account mit dieser E-Mail Adresse ist bereits vorhanden."
"An error occurred while adding item to wishlist.","Beim Hinzufügen dieses Artikels zur Wunschliste ist ein Fehler aufgetreten."
"An error occurred while deleting the address.","Beim Löschen der Anschrift ist ein Fehler aufgetreten."
"An error occurred while loading categories.","Ha ocurrido un error tratando de cargar las categorías."
"An error occurred while loading category filters.","Beim Laden der Kategoriefilter ist ein Fehler aufgetreten."
"An error occurred while loading wishlist.","Ha ocurrido un error mientras se cargaba Mis Favoritos."
"An error occurred while processing your order. Please contact us or try again later.","Beim Bearbeiten Ihrer Bestellung ist ein Fehler aufgetreten. Bitte kontaktieren Sie uns oder versuchen Sie es später noch einmal."
"An error occurred while processing your request.","Bei der Bearbeitung Ihrer Anfrage ist ein Fehler aufgetreten."
"An error occurred while removing item from wishlist.","Beim Löschen des Artikels von der Wunschliste ist ein Fehler aufgetreten."
"An error occurred while removing items from wishlist.","Beim Löschen der Artikel aus der Wunschliste ist ein Fehler aufgetreten."
"Analytics","Analytik"
"Android","Android"
"Android doesn\'t support AirMail message type.","Android no soporta el programa de correo AirMail."
"App Background","App Hintergrund"
"App Background (landscape mode).","App Hintergrund (Querformat)."
"App Background (portrait mode).","App Hintergrund (Hochformat)."
"App Background <br />(landscape mode)","App Hintergrund <br/> (Querformat)"
"App Background <br />(portrait mode)","App Hintergrund <br/> (Hochformat)"
"App Background image missing.","App Hintergrundbild fehlt."
"App Code","App Code"
"App Information","App Information"
"App Name","App Name"
"App Stores","App Stores"
"App Submission History","App Einsendungshistorie"
"App Title","App Titel"
"App code required.","App Code erforderlich"
"App does not exist.","App existiert nicht."
"App has been deleted.","App wurde gelöscht."
"App has been saved.","App wurde gespeichert."
"App has been submitted.","App wurde abgesendet."
"App model not loaded.","App-Modell nicht geladen."
"App with specified code does not exist.","Eine App mit dem eingegebenen Code existiert nicht."
"Appears in the info section of your app (example: Copyright 2010 – Your Company, Inc.)","Wird im Info-Abschnitt Ihrer App angezeigt (Beispiel: Copyright 2010 - Ihr Unternehmen, Inc.)"
"Application","Anwendung"
"Application Key","Anwendungsschlüssel"
"Application Master Secret","Application Master Secret"
"Application Name","Applikationsname"
"Application Secret","Application Secret"
"Are you sure you want to delete this theme? This change will affect all applications.","¿Está seguro de que quiere eliminar este tema? Este cambio afectará al resto de aplicaciones."
"Are you sure you want to do this?","¿Está seguro de que quiere hacer esto?"
"Are you sure you whant to cancel a message?","Sind Sie sicher, dass Sie die Nachricht abbrechen möchten?"
"Are you sure you whant to delete a message?","Sind Sie sicher, dass Sie die Nachricht löschen möchten?"
"Are you sure you what to cancel selected records?","Sind Sie sicher, dass Sie die ausgewählten Einträge löschen möchten?"
"Are you sure you what to delete selected records?","Sind Sie sicher, dass Sie die ausgewählten Einträge löschen möchten?"
"As a Magento customer, Urban Airship is offering you unlimited Push Notifications and Rich Push for $100/year* along with a 60 day free trial.","Como cliente de Magento, Urban Airship le ofrece notificaciones Push ilimitadas y notificaciones Push premium por 100 $/anuales junto con una versión de prueba gratuita de 60 días."
"At last one application has to be created.","Deberá crearse al menos una aplicación."
"Authentication complete.","Authentifikation abgeschlossen."
"Back","Zurück"
"Back to App Edit","Zurück zur App-Bearbeitung"
"Background Color","Hintergrundfarbe"
"Balance","Saldo"
"Balance Change","Modificación de saldo."
"Balance History","Historial de saldo."
"Banner on Home Screen","Banner auf dem Startbildschirm"
"Banner on Home Screen (landscape mode) image missing.","Falta la imagen del banner en la página de inicio (modo horizontal)."
"Banner on Home Screen (portrait mode) image missing.","Falta la imagen del banner en la página de inicio (modo vertical)."
"Banner on Home Screen <br />(landscape mode)","Banner en la página de inicio <br />(modo horizontal)"
"Banner on Home Screen <br />(portrait mode)","Banner en la página de inicio <br />(modo vertical)"
"Banner on Home Screen image missing.","Banner für Startbildschirm fehlt."
"Billing Address","Dirección de Facturación"
"Billing address has been set.","Rechnungsadresse wurde festgelegt."
"Buy %1$s for %2$s","Kaufen Sie %1$s für %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Kaufen Sie %1$s für jeweils %2$s (%3$s inkl. Steuern)"
"Buy %1$s for %2$s each","Kaufen Sie %1$s für jeweils %2$s"
"Buy %1$s with %2$s discount each","Compra %1$s con %2$s de descuento cada uno."
"Buyer country is not allowed by store.","Sie können aus diesem Land nicht einkaufen."
"Cache Lifetime (seconds)","Cache-Lebenszeit (Sekunden)"
"Cache Management","Cache-Verwaltung"
"Can\'t add item to shopping cart.","Artikel kann nicht zum Einkaufswagen hinzugefügt werden."
"Can\'t apply the coupon code.","Couponcode kann nicht verwendet werden."
"Can\'t copy file ""%s"" to ""%s"".","Datei ""%s"" kann nicht nach ""%s"" kopiert werden."
"Can\'t create wishlist.","Wunschzettel kann nicht erstellt werden."
"Can\'t delete ""%s"" theme.","No se puede eliminar el tema ""%s""."
"Can\'t load XML.","XML kann nicht geladen werden."
"Can\'t load application with id ""%s""","No se puede cargar la aplicación con el identificador ""%s""."
"Can\'t load cart info.","No se puede cargar la información de Mi Compra."
"Can\'t load cart.","No se puede mostrar Mi compra."
"Can\'t load customer form.","No se puede mostrar el formulario del cliente."
"Can\'t load default themes.","No se pueden cargar los temas predeterminados."
"Can\'t load selected theme. Please check your media folder permissions.","No se puede mostrar el tema seleccionado. Por favor, compruebe sus permisos de carpetas compartidas."
"Can\'t open submission form.","Anmeldeformular kann nicht geöffnet werden."
"Can\'t read file ""%s"".","Datei ""%s"" kann nicht gelesen werden."
"Can\'t remove the item.","Artikel kann nicht entfernt werden."
"Can\'t reset theme.","Thema kann nicht zurückgesetzt werden."
"Can\'t save address.","Adresse kann nicht gespeichert werden."
"Can\'t save the customer.","Kunde kann nicht gespeichert werden."
"Can\'t save theme.","Thema kann nicht gespeichert werden."
"Can\'t show configuration.","Konfiguration kann nicht angezeigt werden."
"Can\'t specify product.","Produkt kann nicht spezifiziert werden."
"Can\'t submit application.","Anwendung kann nicht aktiviert werden."
"Can\'t update cart.","Warenkorb kann nicht aktualisiert werden."
"Can\'t write to file ""%s"".","In die Datei ""%s"" kann nicht geschrieben werden."
"Cancel","Abbrechen"
"Canceled","Gelöscht"
"Cancelled","Gelöscht"
"Cannot apply gift card.","No se le puede aplicar la tarjeta de regalo."
"Cannot load theme ""%s"".","Thema ""%s"" kann nicht geladen werden."
"Cannot redeem Gift Card.","No se puede canjear la tarjeta regalo."
"Cannot remove gift card.","No se puede eliminar la tarjeta regalo."
"Cannot save theme ""%s"". Incorrect data received","Thema ""%s"" kann nicht gespeichert werden. Falsche Dateneingabe"
"Card Verification Number","Kreditkartenprüfnummer"
"Card verification number is wrong","Verifizierungsnummer der Karte ist falsch"
"Carrier","Carrier"
"Cart","Einkaufswagen"
"Cart has been updated.","Warenkorb wurde aktualisiert."
"Cart has some errors.","Warenkorb enthält einige Fehler."
"Cart is empty.","Warenkorb ist leer."
"Catalog Only App?","Nur Katalog-App?"
"Category Button Color","Farbe des Kategoriebuttons"
"Category Item Background Color","Hintergrundfarbe des Kategorieartikels"
"Chairs","Stühle"
"Change Orientation","Ausrichtung ändern"
"Change Password","Passwort ändern"
"Changes have been saved to theme.","Änderungen zum Thema wurden gespeichert."
"Checkout has been initialized.","Zahlungsvorgang wurde eingeleitet."
"City","Stadt"
"Color Themes","Farbschemata"
"Colors","Farben"
"Company","Unternehmen"
"Completed","Fertiggestellt"
"Confirm New Password","Neues Passwort bestätigen"
"Confirm Password","Passwort bestätigen"
"Contact Email","Kontakt-E-Mail-Adresse"
"Contact Information","Kontaktinformationen"
"Container is not defined.","El contenedor no está definido."
"Content","Inhalt"
"Copyright","Copyright"
"Copyright Page Logo","Logo auf der Copyright-Seite"
"Copyright Page Logo <br />(iPhone 4 retina)","Logo auf der Copyright-Seite<br/>(iPhone 4 Retina)"
"Countries Payment Applicable From","Países desde los que es posible el pago"
"Country","Land"
"Country options don\'t recognized for ""%s"".","Länderoptionen nicht erkannt für ""%s""."
"Coupon code %s is not valid.","Couponcode %s ist nicht gültig."
"Coupon code %s was applied.","Couponcode %s wurde hinzugefügt."
"Coupon code is empty.","Gutscheincode ist leer."
"Coupon code was canceled.","Gutscheincode wurde annuliert."
"Creating a Template is allowed only for applications which have device type iPhone.","Das Erstellen einer Vorlage ist nur für Anwendungen mit dem Gerätetyp iPhone erlaubt."
"Credit Card","Tarjeta de crédito."
"Credit Card %s","%s de la tarjeta de crédito"
"Credit Card Number","Kreditkartennummer"
"Credit Card Type","Kreditkartentyp"
"Credit card number does not match credit card type.","Kreditkartennummer entspricht nicht dem Kreditkartentyp."
"Current Balance: %s","Balance actual: %s"
"Current Password","Derzeitiges Passwort"
"Currently, PayPal MEP is not available for the Android application","Im Augenblick ist PayPal MEP nicht für die Android-Anwendung verfügbar"
"Custom App Icon","Benutzerspezifisches App-Symbol"
"Custom App Icon <br />(iPhone 4 retina)","Benutzerspezifisches App-Symbol <br />(iPhone 4 retina)"
"Custom Colors","Benutzerdefinierte Farben"
"Customer authentication problem.","Problem bei der Benutzerauthentifizierung."
"Customer balance available in enterprise version of Magento only.","El saldo para clientes solo está disponible en la versión para empresas de Magento."
"Customer balance is disabled for current store","El saldo para clientes está deshabilitado en la tienda actual"
"Customer email not specified.","Keine E-Mail-Adresse des Benutzers festgelegt."
"Customer logout problem.","Abmeldeproblem des Benutzers."
"Customer not logged in.","Benutzer nicht angemeldet."
"DD","DD"
"Date","Fecha"
"Date Created","Fecha de creación"
"Date Submitted","Abschickdatum"
"Date Updated","Aktualisierungsdatum"
"Day","Día"
"Deeper Messaging and Engagement with Rich Push.","Envío de mensajes más completos y atractivos con Rich Push."
"Default Billing Address","Standardrechnungsadresse"
