"# of Use","# van Gebruik"
"%1$s incl tax.","%1$s incl. BTW."
"%s - %s","%s - %s"
"%s Item(s)","%s Artikel(en)"
"(%d)","(%d)"
"(Copy data from: %s)","(Kopieer data van: %s)"
"(Will make search for the query above return results for this search.)","(Zal zoekactie ondernemen voor bovenstaande zoekopdracht resultaten terughalen voor deze zoekactie.)"
"* Required Fields","* Vereiste velden"
"-- Please Select --","-- Selecteer alstublieft --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","86400 standaard, indien niet ingesteld. Om direct te verversen, Verwijder de Blokken HTML Output Cache."
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">Waarschuwing!</strong> Het gebruik van MAP zal standaard alle product prijzen in de frontend verbergen."
"A group with the same name already exists.","Een groep met dezelfde naam bestaat reeds."
"A name is required","Een naam is benodigd."
"A product type is not defined for the indexer.","Een product type is niet gedefinieerd voor de indexer."
"ALL GROUPS","ALLE GROEPEN"
"AM","AM"
"Action","Actie"
"Actual Price","Werkelijke Prijs"
"Add Attribute","Voeg Attribuut toe"
"Add Design Change","Voeg Design Verandering toe"
"Add Group","Voeg Groep toe"
"Add New","Nieuwe Toevoegen"
"Add New Attribute","Nieuwe attribuut toevoegen"
"Add New Attribute Set","Voeg Nieuwe Attribuut Set toe"
"Add New Group","Voeg Nieuwe Groep toe"
"Add New Images","Voeg Nieuwe Plaatjes toe"
"Add New Option","Voeg Nieuwe Optie Toe"
"Add New Row","Voeg Nieuwe Rij Toe"
"Add New Search Term","Voeg Nieuwe Zoekterm Toe"
"Add New Set","Voeg Nieuwe Reeks Toe"
"Add Product","Voeg Product Toe"
"Add Product To Websites","Voeg Product Toe Aan Websites"
"Add Root Category","Voeg Root Categorie Toe"
"Add Subcategory","Voeg Subcategorie Toe"
"Add Tax","Voeg BTW Toe"
"Add Tier","Voeg Rang Toe"
"Add to Cart","In winkelmand"
"Add to Compare","Voeg toe om te Vergelijken"
"Add to Wishlist","Aan verlanglijst toevoegen"
"Additional Information","Aanvullende Informatie"
"Alert Urls","Melding Url's"
