" But cart has some errors.","Maar de winkelwagen heeft wat fouten."
"""Description"" is more than %d characters long","""Description"" is langer dan %d tekens"
"""Title"" is more than %d characters long","""Title"" is langer dan %d tekens"
"%1$s has been added to your wishlist.","%1$s is toegevoegd aan uw verlanglijst."
"%1$s incl tax.","%1$s incl. BTW."
"%s API Key required.","%s API Key vereist."
"%s Application ID required.","%s Toepassing ID vereist."
"%s Secret Key required.","%s Geheime Sleutel vereist."
"%s has been added to your cart.","%S is toegevoegd aan uw winkelwagen."
"(Includes more countries than those listed below. As the application owner, you are responsible for complying with country-specific laws related to the distribution or sale of your application into that country, including your home country.)","(Bevat meer landen dan hieronder aangegeven. U bent als eigenaar van de applicatie verantwoordelijk zich te schikken naar land-specifieke wetten gerelateerd aan de distributie of verkoop van uw applicatie in dat land, inclusief uw thuisland.)"
"10:40 AM","10:40 uur"
"80px x 80px","80 x 80 pixels"
"80x80 px","80 x 80 pixels"
"A Catalog Only App will not support functions such as add to cart, add to wishlist, or login.","Een Catalog Only App ondersteund functies als voeg toe aan winkelwagen, voeg toe aan verlanglijst, of login niet."
"A new password has been sent.","Een nieuw wachtwoord is verstuurd."
"Account","Account"
"Account confirmation is required. Please check your email for the confirmation link.","Account verificatie is vereist. Controleer uw e-mail voor de bevestigingslink."
"Account information has been saved.","Account informatie is opgeslagen."
"Action","Actie"
"Activate","Activeer"
"Activate PayPal Checkout","Activeer PayPal Uitchecken"
"Activation Key","Activatie Sleutel"
"Add App","App Toevoegen"
"Add New Template","Nieuw Sjabloon Toevoegen"
"Add Page","Pagina Toevoegen"
"Add to Cart","Aan mandje toevoegen"
"Add to Wishlist","Aan verlanglijst toevoegen"
"Additional Address","Aanvullende adresgegevens."
"Address","Adres"
"Address 2","Adres 2"
"Address data not specified.","Adres data niet ingevuld."
"Address does not belong to this customer.","Adres behoort niet tot deze klant."
"Address has been deleted.","Adres is verwijderd."
"Address has been saved.","Adres is opgeslagen."
"Administrative contact for this app and for app submission issues.","Administratief contact voor deze app en voor app indieningskwesties."
"Advanced Settings","Geavanceerde instellingen"
"After submitting the App, please contact <a href=""mailto:%1$s"">%1$s</a> to receive the Application Key, Application Secret and Application Master Secret.<br />Upon receiving these credentials, please fill in the corresponding fields.<br />In addition, please accept Urban Airship\'s Terms of Service: <a href=""%2$s"" target=""_blank"">click here</a>.","Na het indienen van de App, gelieve contact op te neme met <a href=""mailto:%1$s"">%1$s</a> om de Applicatie Sleutel, het Applicatie Geheim en Applicatie Meester Geheim te ontvangen.<br /> Wanneer u deze gegevens heeft ontvangen, gelieve ze in te vullen op de overeenkomende velden.<br /> Verder willen wij u verzoeken om Urban Airship's gebruikers overeenkomst te accepteren: <a href=""%2$s"" target=""_blank"">klik hier</a>."
"AirMail Message Queue","AirMail Berichten Wachtrij"
"AirMail Messages Queue","AirMail Berichten Wachtrij"
"AirMail Template Preview","AirMail Sjabloon Preview"
"AirMail message","AirMail Bericht"
"AirMail templates","AirMail sjablonen"
"All locations","Alle locaties"
"An account with this email address already exists.","Een account met die e-mailadres bestaat al."
"An error occurred while adding item to wishlist.","Er heeft een fout plaatsgevonden tijdens het toevoegen van dit voorwerp in uw wensenlijst."
"An error occurred while deleting the address.","Een fout heeft plaats gevonden tijdens het verwijderen van het adres."
"An error occurred while loading category filters.","Een fout heeft plaats gevonden tijdens het laden van de categoriefilters."
"An error occurred while processing your order. Please contact us or try again later.","Er heeft een fout plaats gevonden tijdens de verwerking van uw opdracht. Gelieve contact met ons op te nemen of probeer het later nogmaals."
"An error occurred while processing your request.","Er heeft een fout plaats gevonden tijdens het verwerken van uw verzoek."
"An error occurred while removing item from wishlist.","Er heeft een fout plaats gevonden tijdens het verwijderen van een voorwerp van uw wensenlijst."
"An error occurred while removing items from wishlist.","Er heeft een fout plaatsgevonden tijdens het verwijderen van voorwerpen van uw wensenlijst."
"Analytics","Analytics"
"Android","Android"
"App Background","App Achtergrond"
"App Background (landscape mode).","App Achtergrond (landschap mode)."
"App Background (portrait mode).","App Achtergrond (portret mode)."
"App Background <br />(landscape mode)","App Achtergrond <br />(landschap mode)"
"App Background <br />(portrait mode)","App Achtergrond <br />(portret mode)"
"App Background image missing.","App Achtergrond afbeelding ontbreekt."
"App Code","App code"
"App Information","App Informatie"
"App Name","App Naam"
"App Stores","App Winkels"
"App Submission History","App Indiening Geschiedenis"
"App Title","App Titel"
"App code required.","App code vereist."
"App does not exist.","App bestaat niet."
"App has been deleted.","App is verwijderd."
"App has been saved.","App is opgeslagen."
"App has been submitted.","App is ingediend."
"App model not loaded.","App is niet geladen."
"App with specified code does not exist.","App met de geselecteerde code bestaat niet."
"Appears in the info section of your app (example: Copyright 2010 – Your Company, Inc.)","Verschijnt in de informatie sectie van uw app (Bijvoorbeeld: Copyright 2011 - Uw bedrijf, BV.)"
"Application","Applicatie"
"Application Key","Applicatie Sleutel"
"Application Master Secret","Toepassing meester geheim"
"Application Name","Naam toepassing"
"Application Secret","Geheim toepassing"
"Are you sure you whant to cancel a message?","Weet u zeker dat u een boodschap wilt annuleren?"
"Are you sure you whant to delete a message?","Weet u zeker dat u een boodschap wilt verwijderen?"
"Are you sure you what to cancel selected records?","Weet u zeker dat u de geselecteerde dossiers wilt annuleren?"
"Are you sure you what to delete selected records?","Weet u zeker dat u de geselecteerde dossiers wilt verwijderen?"
"Authentication complete.","Authenticatie voltooid."
"Back","Terug"
"Back to App Edit","Terug naar bewerken toepassingen"
"Background Color","Achtergrondkleur"
"Banner on Home Screen","Banner op thuispagina"
"Banner on Home Screen image missing.","Afbeelding banner op thuispagina ontbreekt."
"Billing address has been set.","Betalingadres is ingesteld."
"Buy %1$s for %2$s","Koop %1$s voor %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Koop %1$s voor %2$s (%3$s inclusief belasting) elk"
"Buy %1$s for %2$s each","Koop %1$s voor %2$s elk"
"Buyer country is not allowed by store.","Land koper is niet toegestaan door winkel."
"Cache Lifetime (seconds)","Levensduur cache (seconden)"
"Cache Management","Beheer cache"
"Can\'t add item to shopping cart.","Kan geen artikelen aan winkelmandje toevoegen."
"Can\'t apply the coupon code.","Kan vouchercode niet toepassen."
"Can\'t copy file ""%s"" to ""%s"".","Kan bestand ""%s""niet naar ""%s"" kopiëren."
"Can\'t create wishlist.","Kan verlanglijst niet aanmaken."
"Can\'t load XML.","Kan XML niet laden."
"Can\'t load application with code ""%s""","Kan applicatie met code ""%s"" niet laden"
"Can\'t open submission form.","Kan inzendingsformulier niet openen"
"Can\'t read file ""%s"".","Kan bestand ""%s"" niet lezen."
"Can\'t remove the item.","Kan artikel niet verwijderen."
"Can\'t reset theme.","Kan thema niet herstellen."
"Can\'t save address.","Kan adres niet opslaan."
"Can\'t save the customer.","Kan klant niet opslaan."
"Can\'t save theme.","Kan thema niet opslaan."
"Can\'t show configuration.","Kan configuratie niet tonen."
"Can\'t specify product.","Kan product niet specificeren."
"Can\'t submit application.","Kan applicatie niet inzenden."
"Can\'t update cart.","Kan mandje niet bijwerken."
"Can\'t write to file ""%s"".","Kan niet naar bestand ""%s"" schrijven."
"Cancel","Annuleren"
"Canceled","Geannuleerd"
"Cancelled","Geannuleerd"
"Cannot load theme ""%s"".","Kan thema ""%s"" niet laden."
"Cannot save theme ""%s"". Incorrect data received","Kan thema ""%s"" niet opslaan. Onjuiste data ontvangen"
"Card Verification Number","Kaartverificatienummer"
"Card verification number is wrong","Verificatienummer kaart is fout"
"Carrier","Provider"
"Cart","Winkelwagen"
"Cart has been updated.","Mandje is bijgewerkt."
"Cart has some errors.","Mandje bevat enkele fouten."
"Cart is empty.","Mandje is leeg."
"Catalog Only App?","Alleen catalogus applicatie?"
"Category Button Color","Kleur knop categorie"
"Category Item Background Color","Categorie artikel achtergrondkleur"
"Chairs","Zetels"
"Change Orientation","Verander Oriëntatie"
"Change Password","Verander wachtwoord"
"Changes have been saved to theme.","Veranderingen zijn bij het thema opgeslagen"
"Checkout has been initialized.","Afrekening is geïnitialiseerd."
"City","Stad"
"Color Themes","Kleurenthema's"
"Colors","Kleuren"
"Company","Bedrijf"
"Completed","Voltooid"
"Confirm New Password","Bevestig nieuw wachtwoord"
"Confirm Password","Bevestig wachtwoord"
"Contact Email","Contact email"
"Contact Information","Contact Informatie"
"Content","Inhoud"
"Copyright","Auteursrecht"
"Copyright Page Logo","Logo auteursrechtpagina"
"Copyright Page Logo <br />(iPhone 4 retina)","Logo auteursrechtpagina < br />(iPhone 4 retina)"
"Country","Land"
"Country options don\'t recognized for ""%s"".","Landopties niet herkend voor ""%s""."
"Coupon code %s is not valid.","Vouchercode %s is niet geldig."
"Coupon code %s was applied.","Vouchercode %s is toegepast."
"Coupon code is empty.","Vouchercode is leeg."
"Coupon code was canceled.","Vouchercode is geannuleerd."
"Creating a Template is allowed only for applications which have device type iPhone.","Het aanmaken van een sjabloon is alleen toegestaan voor applicaties met apparaattype iPhone."
"Credit Card Number","Nummer creditcard"
"Credit Card Type","Type credit card"
"Credit card number does not match credit card type.","Creditcard nummer komt niet overeen met creditcard type."
"Current Password","Huidig wachtwoord"
"Currently, PayPal MEP is not available for the Android application","Momenteel is PayPal MEP niet beschikbaar voor Android toepassingen"
"Custom App Icon","Aangepast applicatie-icoon"
"Custom App Icon <br />(iPhone 4 retina)","Aangepast applicatie-icoon < br />(iPhone 4 retina)"
"Custom Colors","Gepersonaliseerde Kleuren"
"Customer authentication problem.","Probleem met klantauthenticatie."
"Customer email not specified.","Email klant niet gespecificeerd."
"Customer logout problem.","Probleem bij uitloggen klant."
"Customer not logged in.","Klant niet ingelogd."
"Date Created","Aangemaakt op datum"
"Date Submitted","Ingezonden op datum"
"Date Updated","Bijgewerkt op datum"
"Default Billing Address","Standaard betalingsadres"
"Default Shipping Address","Standaard verzendingsadres"
"Default Theme","Standaard thema"
"Delete","Verwijderen"
"Deleted","Verwijderd"
"Description","Beschrijving"
"Description that appears in Android Market. %s chars maximum. ","Beschrijving die in de Android Market verschijnt. Maximaal %s tekens."
"Description that appears in the iTunes App Store. %s chars maximum. ","Omschrijving die verschijnt in de iTunes App Store.  %s tekens max."
"Deselect All","Alles Deselecteren"
"Design","Ontwerp"
"Device","Apparaat"
"Device Information","Apparaat Informatie"
"Device Type","Apparaat Type"
"Device doesn\'t recognized. Unable to load a template.","Apparaat niet herkend. Niet mogelijk sjabloon te laden."
"Device doesn\'t recognized: ""%s"". Unable to load a helper.","Apparaat niet herkend: ""%s"". Niet mogelijk een helper te laden."
"Device doesn\'t recognized: ""%s"". Unable to load preview model.","Apparaat niet herkend: ""%s"". Niet mogelijk preview model te laden."
"Edit","Bewerken"
"Edit AirMail Message","Pas AirMail Bericht aan"
"Edit AirMail Message Queue #%s","Pas Airmail Bericht Rij #%s aan"
"Edit App ""%s""","Pas App ""%s"" aan"
"Edit Filter","Pas Filter aan"
"Edit Template ""%s""","Pas Sjabloon ""%s"" aan"
"Email","Email"
"Email Address","e-mailadres"
"Enable AirMail Message Push notification","Sta AirMail Bericht Push notificatie toe"
"Enable Facebook","Sta Facebook toe"
"Enable Flurry Analytics","Sta Flurry Analytics toe"
"Enable Flurry Analytics for the merchant.","Sta Flurry Analytics voor de verkoper toe."
"Enable LinkedIn","Sta LinkedIn toe"
"Enable Standard Checkout","Sta Standaard Betaling toe"
"Enable Twitter","Sta Twitter toe"
"Error while processing file ""%s"".","Er heeft zich een fout voorgedaan tijdens het processen van bestand ""%s""."
"Error while reading data from Payment Bridge. Please, try again.","Er is een fout opgetreden tijdens het lezen van de data van de Payment Bridge. Gelieve het nogmaals te proberen."
"Error while uploading file ""%s"".","Er is een fout opgetreden tijdens het uploaden van bestand ""%s""."
"Error while uploading file ""%s"". Disallowed file type. Only ""jpg"", ""jpeg"", ""gif"", ""png"" are allowed.","Fout bij het uploaden van bestand ""%s"". Niet toegestaan bestand type. Alleen ""jpg"", ""jpeg"", ""gif"", ""png"" zijn toegestaan."
"Error.","Fout."
"Expiration Date - Month","Vervaldatum - Maand"
"Expiration Date - Year","Vervaldatum - Jaar"
"Extensions","Uitbreidingen"
"FILTERS APPLIED","FILTERS TOEGEPAST"
"Facebook API","Facebook API"
"Facebook Application ID","Facebook Applicatie ID"
"Fax","Fax"
"File can\'t be uploaded.","Bestanden kunnen niet geüpload worden."
"File doesn\'t exist ""%s"".","Bestand ""%s"" bestaat niet."
"First Name","Voornaam"
"Flurry API Code","Flurry API Code"
"Flurry Analytics","Flurry Analytics"
"Flurry Analytics Site","Flurry Analytics Website"
"Fonts","Lettertypen"
"Free","Gratis"
"Funk Leaf","Funk Leaf"
"General","Algemeen"
"Get Content from CMS Page","Verkrijg Inhoud van CMS Pagina"
"Grand Total (Excl. Tax)","Totaal (Ex. Belasting)"
"Grand Total (Incl. Tax)","Totaal (Incl. Belasting)"
"Guest","Gast"
"Header Background Color","Aanhef Achtergrond Kleur"
"Header Font Color","Aanhef Letter Kleur"
"High Resolution Application Icon","Hoge Resolutie Applicatie Icoon"
"Home","Thuis"
"Hot Red","Heet Rood"
"ID","ID"
"Icon that will appear on the user\'s device after they download your app. Recommended size: 48px x 48px.","Icoon dat verschijnt op het apparaat van de gebruiker nadat hij uw app heeft gedownload. Aanbevolen grootte: 48 x 48 pixels."
"Icon that will appear on the user\'s device after they download your app. You do not need to apply a gradient or soft edges (this is done automatically by Apple). Recommended size: 72px x 72px.","Icoon dat verschijnt op het apparaat van de gebruiker nadat hij uw app heeft gedownload. U hoeft geen gradient of soft edges toe te passen (Dit wordt automatisch door Apple gedaan). Aanbevolen grootte: 72 x 72 pixels."
"Icon that will appear on the user\'s phone after they download your app. You do not need to apply a gradient or soft edges (this is done automatically by Apple). Recommended size: 114px x 114px.","Icoon dat verschijnt op de telefoon van de gebruiker nadat hij uw app heeft gedownload. U hoeft geen gradient of soft edges toe te passen (Dit wordt automatisch door Apple gedaan). Aanbevolen grootte: 114 x 114 pixels."
"Icon that will appear on the user’s phone after they download your app.  You do not need to apply a gradient or soft edges (this is done automatically by Apple).  Recommended size: 57px x 57px at 72 dpi.","Icoon dat verschijnt op de telefoon van de gebruiker nadat hij uw app heeft gedownload. U hoeft geen gradient of soft edges toe te passen (Dit wordt automatisch door Apple gedaan). Aanbevolen grootte: 57 x 57 pixels op 72 dpi."
"Icons","Iconen"
"If leave this field empty, the message will be sent immediately","Als u dit veld leeg laat, wordt het bericht automatisch verstuurd"
"If you want to disable the cache on the application side, leave the field empty. Warning! When disabling cache, the application will take time to load each page.","Als u de cache aan de applicatiezijde onbruikbaar wilt maken, laat het veld leeg. Waarschuwing! Als u dit doet, kost het de applicatie tijd elke pagina te laden."
"Image file was not found.","Afbeelding bestand niet gevonden."
"Image that appears on first screen while your app is loading. Required size: 1024px x 768px.","Afbeelding dat verschijnt op eerste scherm terwijl uw app laadt. Aanbevolen grootte: 1024 x 1024 pixels."
"Image that appears on first screen while your app is loading. Required size: 320px x 455px.","Afbeelding dat verschijnt op eerste scherm terwijl uw app laadt. Aanbevolen grootte: 320 x 455 pixels."
"Image that appears on first screen while your app is loading. Required size: 320px x 460px.","Afbeelding dat verschijnt op eerste scherm terwijl uw app laadt. Benodigde grootte: 320 x 460 pixels."
"Image that appears on first screen while your app is loading. Required size: 640px x 920px.","Afbeelding dat verschijnt op eerste scherm terwijl uw app laadt. Benodigde grootte: 640 x 920 pixels."
"Image that appears on first screen while your app is loading. Required size: 768px x 1024px.","Afbeelding dat verschijnt op eerste scherm terwijl uw app laadt. Benodigde grootte: 768 x 1024 pixels."
"Images","Afbeeldingen"
"In Queue","In de wachtrij"
"In Stock","In voorraad"
"In order to resubmit your app, you need to first purchase a <a href=""%s"" target=""_blank"">%s</a> from MagentoCommerce","Om uw app te herbevestigen, moet u eerst een <a href=""%s"" target=""_blank"">%s</a> bij MagentoCommerce aanschaffen"
"In order to submit your app, you need to first purchase a <a href=""%s"" target=""_blank"">%s</a> from MagentoCommerce","Om uw app te bevestigen, moet u eerst een <a href=""%s"" target=""_blank"">%s</a> bij MagentoCommerce aanschaffen"
"Inactive Tabs","Inactieve Tabs"
"Invalid XML.","Ongeldige XML."
"Invalid current password.","Ongeldig huidig wachtwoord."
"Invalid customer data.","Ongeldige klantendata."
"Invalid data.","Ongeldige data."
"Invalid email address.","Ongeldig e-mailadres."
"Invalid item or wishlist.","Ongeldig artikel of verlanglijst."
"Invalid login or password.","Ongeldige login of wachtwoord"
"Invalid shipping method.","Ongeldige verzendmethode."
"Issue Number","Uitgave Nummer"
"It\'s not allowed to delete submitted application.","Het is niet toegestaan een bevestigde applicatie te verwijderen."
"Item has been added to cart.","Artikel is toegevoegd aan winkelwagentje."
"Item has been deleted from cart.","Artikel is verwijderd uit winkelwagentje."
"Item has been removed from wishlist.","Artikel is verwijderd van verlanglijst."
"Items were updated. But can\'t update wishlist.","Artikelen geüpdatet. Maar kan verlanglijst niet updaten."
"Key","Sleutel"
"Keywords","Steekwoorden"
"Label","Label"
"Large iTunes Icon","Grote iTunes Icoon"
"Large icon that appears in the iTunes App Store. You do not need to apply a gradient or soft edges (this is done automatically by Apple). Required size: 512px x 512px.","Groot icoon dat verschijnt in de iTunes App Store. U hoeft geen gradient of soft edges toe te passen (dit wordt automatisch door Apple gedaan). Gevraagde grootte: 512 x 512 pixels."
"Last Name","Achternaam"
"LinkedIn API","LinkedIn API"
"LinkedIn API Key","LinkedIn API Key"
"LinkedIn Secret Key","LinkedIn Secret Key"
"Loader Splash Screen","Loader Splash Scherm"
"Loader Splash Screen <br />(iPhone 4 retina)","Loader Splash Scherm <br />(iPhone 4 retina)"
"Loader Splash Screen <br />(landscape mode)","Loader Splash Scherm <br />(landscape mode)"
"Loader Splash Screen <br />(portrait mode)","Loader Splash Scherm <br />(portrait mode)"
"Loading Preview...","Preview Laden..."
"Locations","Locaties"
"Log In","Inloggen"
"Login and password are required.","Login en wachtwoord zijn noodzakelijk."
"Logo in Header","Logo in Koptekst"
"Logo in Header image missing.","Logo in Koptekst afbeelding mist"
"Logout complete.","Logout gelukt"
"MEP is PayPal`s native checkout experience for the iPhone. You can choose to use MEP alongside standard checkout, or use it as your only checkout method for Magento mobile. PayPal MEP requires a <a href=""%s"">PayPal business account</a>","MEP is PayPal's eigen betaalmethode voor de iPhone. U kunt MEP naast uw gewone betaalmethode gebruiken of het gebruiken als uw enige betaalmethode voor Magento mobiel. PayPal MAP vraagt een <a href=""%s"">PayPal business account</a>"
"Mailbox title","Mailbox titel"
"Main Tabs","Hoofdtabs"
"Make Inactive","Deactiveer"
"Make this app available in the following territories","Maak deze app beschikbaar in de volgende gebieden"
"Manage Apps","Beheer Apps"
